date,close
2021-02-10,31779.734
2021-02-18,30819.217
2021-02-19,31313.385
2021-02-22,29848.998
2021-02-23,29545.895
2021-02-24,28468.838
2021-02-25,28174.785
2021-02-26,27400.352
2021-03-01,27715.143
2021-03-02,27144.848
2021-03-03,27509.057
2021-03-04,26318.508
2021-03-05,26312.998
2021-03-08,24930.533
2021-03-09,24201.879
2021-03-10,24587.08
2021-03-11,25270.121
2021-03-12,25246.98
2021-03-15,24308.984
2021-03-16,24722.346
2021-03-17,25172.613
2021-03-18,25638.807
2021-03-19,24935.893
2021-03-22,25034.395
2021-03-23,24982.512
2021-03-24,24831.842
2021-03-25,24785.57
2021-03-26,25347.559
2021-03-29,25554.154
2021-03-30,25814.479
2021-03-31,25547.029
2021-04-01,25969.006
2021-04-02,26710.182
2021-04-06,26475.32
2021-04-07,25836.879
2021-04-08,26147.699
2021-04-09,25633.182
2021-04-12,25368.244
2021-04-13,25604.986
2021-04-14,25743.596
2021-04-15,25542.404
2021-04-16,25709.592
2021-04-19,26165.314
2021-04-20,26438.178
2021-04-21,26623.113
2021-04-22,26577.105
2021-04-23,26973.078
2021-04-26,26426.816
2021-04-27,26639.387
2021-04-28,26870.037
2021-04-29,27322.33
2021-04-30,27107.133
2021-05-06,26335.162
2021-05-07,25967.324
2021-05-10,25484.363
2021-05-11,26131.244
2021-05-12,26447.156
2021-05-13,26385.924
2021-05-14,26837.977
2021-05-17,27405.992
2021-05-18,27349.66
2021-05-19,27204.873
2021-05-20,27505.309
2021-05-21,27242.174
2021-05-24,27457.303
2021-05-25,28353.859
2021-05-26,28208.777
2021-05-27,28240.393
2021-05-28,28047.121
2021-05-31,28068.461
2021-06-01,28250.307
2021-06-02,28003.844
2021-06-03,28030.938
2021-06-04,28291.115
2021-06-07,28164.752
2021-06-08,27271.84
2021-06-09,27400.602
2021-06-10,27570.984
2021-06-11,26994.813
2021-06-15,26787.535
2021-06-16,26573.838
2021-06-17,26678.148
2021-06-18,26318.43
2021-06-21,26037.035
2021-06-22,26184.758
2021-06-23,25822.994
2021-06-24,25863.098
2021-06-25,26329.809
2021-06-28,26746.602
2021-06-29,26352.43
2021-06-30,26374.633
2021-07-01,26572.193
2021-07-02,25794.418
2021-07-05,25641.26
2021-07-06,25509.234
2021-07-07,25592.078
2021-07-08,25114.285
2021-07-09,24597.795
2021-07-12,24823.379
2021-07-13,25329.863
2021-07-14,25364.551
2021-07-15,25745.283
2021-07-16,25269.416
2021-07-19,25260.295
2021-07-20,25286.824
2021-07-21,25141.086
2021-07-22,24872.531
2021-07-23,24314.84
2021-07-26,23110.832
2021-07-27,22224.271
2021-07-28,22245.279
2021-07-29,22137.268
2021-07-30,21485.662
2021-08-02,22465.908
2021-08-03,22777.971
2021-08-04,22425.479
2021-08-05,22260.307
2021-08-06,22158.898
2021-08-09,22844.689
2021-08-10,23753.131
2021-08-11,23362.621
2021-08-12,22934.539
2021-08-13,23015.355
2021-08-16,23106.609
2021-08-17,22203.037
2021-08-18,22225.594
2021-08-19,21902.43
2021-08-20,20930.633
2021-08-23,21141.881
2021-08-24,21538.893
2021-08-25,21849.246
2021-08-26,21215.344
2021-08-27,21170.607
2021-08-30,21157.93
2021-08-31,20868.654
2021-09-01,21486.223
2021-09-02,21144.365
2021-09-03,21454.461
2021-09-06,21997.754
2021-09-07,22055.051
2021-09-08,21789.021
2021-09-09,21741.416
2021-09-10,22018.191
2021-09-13,21754.307
2021-09-14,21571.863
2021-09-15,21117.822
2021-09-16,21369.322
2021-09-17,21857.129
2021-09-22,21305.264
2021-09-23,21579.365
2021-09-24,22212.871
2021-09-27,23320.783
2021-09-28,23136.004
2021-09-29,23219.301
2021-09-30,23353.521
2021-10-08,24117.623
2021-10-11,24096.277
2021-10-12,24061.961
2021-10-13,24656.207
2021-10-14,24441.398
2021-10-15,24306.289
2021-10-18,23434.646
2021-10-19,24079.395
2021-10-20,24022.713
2021-10-21,23970.496
2021-10-22,24330.924
2021-10-25,24248.072
2021-10-26,24136.1
2021-10-27,23845.055
2021-10-28,23994.816
2021-10-29,24473.584
2021-11-01,24272.709
2021-11-02,24354.352
2021-11-03,24312.676
